5.3713 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
73.4421 	EXP 	grating: autoDraw = False
73.7950 	DATA 	Keypress: up
74.1420 	EXP 	fixation: autoDraw = False
74.1474 	EXP 	New trial (rep=49, index=0): None
74.1587 	EXP 	fixation: autoDraw = False
74.1587 	EXP 	grating: autoDraw = False
74.1587 	EXP 	grating: ori = 0.0
74.1587 	EXP 	fixation: autoDraw = True
74.1587 	EXP 	grating: autoDraw = True
74.4584 	EXP 	grating: autoDraw = False
74.7616 	DATA 	Keypress: down
75.1587 	EXP 	fixation: autoDraw = False
75.1641 	EXP 	New trial (rep=50, index=0): None
75.1749 	EXP 	fixation: autoDraw = False
75.1749 	EXP 	grating: autoDraw = False
75.1749 	EXP 	grating: ori = -2.0
75.1749 	EXP 	fixation: autoDraw = True
75.1749 	EXP 	grating: autoDraw = True
75.4748 	EXP 	grating: autoDraw = False
75.6287 	DATA 	Keypress: up
76.1753 	EXP 	fixation: autoDraw = False
76.1796 	EXP 	New trial (rep=51, index=0): None
76.1913 	EXP 	fixation: autoDraw = False
76.1913 	EXP 	grating: autoDraw = False
76.1913 	EXP 	grating: ori = -2.0
76.1913 	EXP 	fixation: autoDraw = True
76.1913 	EXP 	grating: autoDraw = True
76.4917 	EXP 	grating: autoDraw = False
76.6784 	DATA 	Keypress: up
77.1914 	EXP 	fixation: autoDraw = False
77.1973 	EXP 	New trial (rep=52, index=0): None
77.2086 	EXP 	fixation: autoDraw = False
77.2086 	EXP 	grating: autoDraw = False
77.2086 	EXP 	grating: ori = 0.0
77.2086 	EXP 	fixation: autoDraw = True
77.2086 	EXP 	grating: autoDraw = True
77.5081 	EXP 	grating: autoDraw = False
77.5947 	DATA 	Keypress: down
78.2084 	EXP 	fixation: autoDraw = False
78.2131 	EXP 	New trial (rep=53, index=0): None
78.2247 	EXP 	fixation: autoDraw = False
78.2247 	EXP 	grating: autoDraw = False
78.2247 	EXP 	grating: ori = 0.0
78.2247 	EXP 	fixation: autoDraw = True
78.2247 	EXP 	grating: autoDraw = True
78.5246 	EXP 	grating: autoDraw = False
78.7611 	DATA 	Keypress: up
79.2245 	EXP 	fixation: autoDraw = False
79.2293 	EXP 	New trial (rep=54, index=0): None
79.2411 	EXP 	fixation: autoDraw = False
79.2411 	EXP 	grating: autoDraw = False
79.2411 	EXP 	grating: ori = 0.0
